timestamp,label,attack_tag,attack_segment_id,signal_name,anomaly_score,final_threshold,prediction,trust_score,ips_mode,vehicle_speed,vehicle_steering,source_path
1771685790.318356,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685790.418216,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685790.5372329,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685790.638881,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685790.753152,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685790.8553002,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685790.9686432,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685791.069071,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685791.1851,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685791.290647,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685791.394302,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685791.506617,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685791.609953,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685791.722763,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685791.835071,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685791.937152,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685792.051939,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685792.164862,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685792.2637749,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685792.376023,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685792.486094,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
1771685792.585082,0,normal,,speed,0.0,0.6708333333333334,0,1.0,OFF,30.0,0.0,evaluation_data/20260221_202623_002_codex_eval.jsonl
